     rs     ,   Nk=100   ,   Nk=200   ,   Nk=300   ,   Nk=400   ,   Nk=500   
     0.00100,    'NaN'   , 12213.64766,    'NaN'   ,    'NaN'   ,    'NaN'   
     0.00144,    'NaN'   ,  5890.06928,    'NaN'   ,    'NaN'   ,    'NaN'   
     0.00207,    'NaN'   ,  2850.39270,    'NaN'   ,    'NaN'   ,    'NaN'   
     0.00298,    'NaN'   ,  1375.34882,    'NaN'   ,    'NaN'   ,    'NaN'   
     0.00428,    'NaN'   ,   666.74205,    'NaN'   ,    'NaN'   ,    'NaN'   
     0.00616,    'NaN'   ,   321.87257,    'NaN'   ,    'NaN'   ,    'NaN'   
     0.00886,    'NaN'   ,   155.58866,    'NaN'   ,    'NaN'   ,    'NaN'   
     0.01270,    'NaN'   ,    75.72477,    'NaN'   ,    'NaN'   ,    'NaN'   
     0.01830,    'NaN'   ,    36.47063,    'NaN'   ,    'NaN'   ,    'NaN'   
     0.02640,    'NaN'   ,    17.52417,    'NaN'   ,    'NaN'   ,    'NaN'   
     0.03790,    'NaN'   ,     8.50290,    'NaN'   ,    'NaN'   ,    'NaN'   
     0.05460,    'NaN'   ,     4.09694,    'NaN'   ,    'NaN'   ,    'NaN'   
     0.07850,    'NaN'   ,     1.98201,    'NaN'   ,    'NaN'   ,    'NaN'   
     0.11300,    'NaN'   ,     0.95651,    'NaN'   ,    'NaN'   ,    'NaN'   
     0.16200,    'NaN'   ,     0.46539,    'NaN'   ,    'NaN'   ,    'NaN'   
     0.23400,    'NaN'   ,     0.22306,    'NaN'   ,    'NaN'   ,    'NaN'   
     0.25000,     0.38689,     0.19542,     0.13072,     0.09820,     0.07864
     0.33600,    'NaN'   ,     0.10818,    'NaN'   ,    'NaN'   ,    'NaN'   
     0.48300,    'NaN'   ,     0.05235,    'NaN'   ,    'NaN'   ,    'NaN'   
     0.69500,    'NaN'   ,     0.02529,    'NaN'   ,    'NaN'   ,    'NaN'   
     0.75000,     0.04299,     0.02171,     0.01452,     0.01091,     0.00874
     1.00000,     0.02418,     0.01221,     0.00817,     0.00614,     0.00492
     1.25000,     0.01548,     0.00782,     0.00523,     0.00393,     0.00315
     1.75000,     0.00790,     0.00399,     0.00267,     0.00200,     0.00160
     2.00000,     0.00605,     0.00305,     0.00204,     0.00153,     0.00123
     2.25000,     0.00478,     0.00241,     0.00161,     0.00121,     0.00097
     2.75000,     0.00320,     0.00162,     0.00108,     0.00081,     0.00065
     3.00000,     0.00269,     0.00136,     0.00091,     0.00068,     0.00055
     4.00000,     0.00151,     0.00076,     0.00051,     0.00038,     0.00031
     5.00000,     0.00097,     0.00049,     0.00033,     0.00025,     0.00020
     6.00000,     0.00067,     0.00034,     0.00023,    'NaN'   ,    'NaN'   
     7.00000,     0.00049,     0.00025,    'NaN'   ,    'NaN'   ,    'NaN'   
     8.00000,     0.00038,     0.00019,    'NaN'   ,    'NaN'   ,    'NaN'   
     9.00000,     0.00030,     0.00015,    'NaN'   ,    'NaN'   ,    'NaN'   
    10.00000,     0.00024,     0.00012,    'NaN'   ,    'NaN'   ,    'NaN'   
