     rs     ,  Nk=1331   ,  Nk=4096   ,  Nk=13824  ,  Nk=32768  ,  Nk=64000  , Nk=110592  
     1.00000,    'NaN'   ,     0.36139,     0.15001,     0.08452,     0.05458,     0.06993
     1.20000,     0.32620,     0.25260,    'NaN'   ,    'NaN'   ,    'NaN'   ,    'NaN'   
     1.50000,    'NaN'   ,     0.16305,     0.06493,     0.03660,     0.02372,    'NaN'   
     2.00000,    'NaN'   ,     0.09277,     0.03529,     0.01991,     0.01295,     0.01841
     2.50000,    'NaN'   ,     0.05987,     0.02166,     0.01224,     0.00798,    'NaN'   
     3.00000,    'NaN'   ,     0.04183,     0.01433,     0.00811,     0.00531,     0.00843
     3.50000,    'NaN'   ,     0.03085,     0.00997,     0.00566,     0.00371,     0.00310
     4.00000,    'NaN'   ,     0.02367,     0.00717,     0.00408,     0.00056,    -0.00097
     4.50000,    'NaN'   ,     0.01832,     0.00517,     0.00139,    -0.00251,    -0.00353
     5.00000,    'NaN'   ,     0.01242,     0.00153,    -0.00134,    -0.00449,    -0.00516
     5.50000,    'NaN'   ,     0.00822,    -0.00098,    -0.00319,    -0.00580,    'NaN'   
     6.00000,    'NaN'   ,     0.00516,    -0.00274,    -0.00447,    -0.00667,    'NaN'   
